142	88	84757	2360	32032	82499	428	368	411	326	18	0	498	251	398	393	10	0	296	330	352	280	18	0	267	283	382	335	18	0
142	181	107631	3431	3016	101452	337	422	412	376	21	0	264	451	439	403	19	0	454	304	223	341	13	0	216	393	341	313	19	0
142	135	105421	3238	2906	102988	494	182	331	533	14	0	512	255	239	498	6	0	161	409	413	293	16	0	136	492	418	225	10	0
142	42	106063	3289	2985	101965	231	511	472	279	22	0	337	477	523	274	19	0	405	193	221	412	11	0	343	218	216	456	22	0
193	88	109171	3182	2945	100944	476	398	449	291	15	0	352	486	454	295	13	0	409	276	278	278	17	0	269	337	298	304	15	0
193	181	107670	3442	2982	102389	410	464	285	423	17	0	421	474	341	393	14	0	314	379	279	330	19	0	219	361	314	344	19	0
193	135	107141	3369	3056	103466	349	632	462	156	17	0	257	540	552	252	15	0	481	310	136	416	20	0	335	245	214	518	19	0
193	42	106873	3326	3024	102658	583	189	370	408	21	0	648	303	347	361	14	0	216	397	396	256	25	0	182	512	308	204	10	0
168	88	108252	3247	2988	101338	289	495	495	228	17	0	505	266	363	462	24	0	254	418	362	189	17	0	359	203	240	445	13	0
168	181	106966	3326	3065	103279	508	242	260	501	16	0	233	518	509	343	11	0	470	168	234	439	12	0	132	447	482	269	20	0
168	135	107133	3381	2959	102064	372	413	378	453	21	0	260	456	396	446	21	0	343	270	302	374	16	0	249	263	389	333	14	0
168	42	108205	3388	2920	102011	418	437	447	308	19	0	638	292	275	367	9	0	266	413	343	283	25	0	266	429	271	274	8	0
117	88	108388	3407	2993	100222	640	213	291	446	18	0	422	479	510	191	17	0	374	262	232	391	17	0	189	473	360	167	9	0
117	181	109529	3354	2970	100820	286	549	511	250	16	0	392	260	364	535	10	0	201	467	354	217	18	0	268	210	234	547	18	0
117	135	110088	3289	2919	101594	451	371	431	304	12	0	497	310	311	450	21	0	267	441	318	315	18	0	237	415	323	311	18	0
117	42	106977	3465	3072	104137	403	435	342	326	15	0	273	477	564	262	10	0	455	242	227	324	14	0	251	299	325	340	15	0
117	88	108848	1934	1609	101490	194	184	202	190	8	0	206	130	251	195	9	0	137	155	140	187	18	0	105	98	191	149	8	0
117	181	108798	1803	1527	102495	186	164	252	172	14	0	157	220	198	272	15	0	139	140	148	186	17	0	119	165	184	198	10	0
117	135	107007	1674	1686	103680	154	183	220	230	14	0	150	185	208	240	16	0	144	187	167	180	9	0	101	180	155	190	10	0
117	42	106232	1986	1352	102204	181	222	188	236	13	0	157	226	179	251	11	0	158	162	173	183	9	0	111	106	225	130	16	0
117	88	106668	1995	1724	101741	196	227	153	181	15	0	237	185	207	153	16	0	186	202	125	165	19	0	147	198	158	160	4	0
117	181	105840	1966	1409	105352	178	322	153	219	13	0	171	190	159	148	8	0	204	200	135	165	12	0	129	198	133	170	12	0
117	135	107765	1883	1558	102673	226	185	192	159	20	0	205	250	186	211	13	0	166	190	111	151	18	0	155	169	179	184	9	0
117	42	108375	1956	1510	102337	275	231	191	166	14	0	248	153	224	134	10	0	228	217	137	141	10	0	96	226	113	172	8	0
142	42	94347	1979	1816	83352	325	211	259	187	4	0	257	227	315	241	8	0	177	144	161	145	17	0	107	129	210	183	6	0
193	42	73059	1870	1756	64081	284	222	236	190	9	0	261	207	293	176	10	0	257	193	167	107	7	0	154	172	184	180	7	0
168	42	72654	2068	1724	64558	331	231	283	225	5	0	307	252	254	240	9	0	205	170	165	142	9	0	139	183	147	144	11	0
117	42	74599	1935	1730	62854	262	212	305	229	13	0	286	227	265	229	5	0	156	137	190	141	13	0	124	164	175	156	10	0
117	42	70740	1211	1049	66581	142	136	184	142	9	0	88	78	144	91	7	0	41	51	75	43	8	0	80	95	152	135	6	0
117	42	79492	1169	1044	59225	170	96	113	88	10	0	249	167	181	128	7	0	118	134	95	91	13	0	30	40	40	45	11	0
142	42	82437	1737	1372	73000	193	206	137	165	10	0	118	166	174	247	6	0	159	216	128	163	8	0	134	235	132	176	5	0
193	42	63944	1761	1536	58754	248	274	132	185	19	0	189	234	164	232	4	0	129	199	142	183	12	0	112	211	124	187	14	0
168	42	60234	1718	1531	62553	191	218	167	208	10	0	180	221	150	191	6	0	116	175	156	200	10	0	125	250	127	172	11	0
117	42	60876	1737	1552	62276	172	221	188	220	6	0	146	240	177	229	8	0	136	209	147	186	14	0	115	184	180	201	14	0
117	42	58540	1257	1059	63760	49	46	49	57	8	0	100	142	133	153	6	0	106	115	129	159	5	0	33	54	43	52	3	0
117	42	63549	1030	922	59161	155	168	108	139	8	0	60	87	54	63	3	0	49	73	37	58	10	0	101	161	104	136	5	0
